姓名,语文,数学,英语,物理,化学,生物,总分
李志强,115,108,102,80,81,86,572
王建国,106,114,129,83,81,86,599
张沐阳,102,91,98,83,94,84,552
刘哲羽,104,83,111,89,92,83,562
陈修远,98,111,102,101,76,74,562
杨泽安,108,114,114,81,94,83,594
赵靖尧,99,96,99,75,76,78,523
黄杰,106,102,104,75,86,86,559
周伟明,91,81,109,98,76,86,541
吴嘉豪,98,107,120,80,76,86,567
郑文涛,104,94,112,81,81,86,558
何梓睿,105,126,98,80,94,84,587
徐俊熙,100,101,99,105,78,81,564
孙宏斌,105,108,98,75,76,78,540
胡宇帆,117,123,127,85,81,78,611
郭睿,105,117,123,96,94,86,621
许一墨,98,93,103,79,80,80,533
冯锦程,111,108,105,75,94,69,562
唐逸,95,87,108,99,78,86,553
程明哲,119,97,100,96,94,76,582
董恒,108,115,115,82,94,85,599
曹霖瑜,108,105,124,95,94,69,595
袁启明,96,100,111,88,76,76,547
彭炜钧,109,90,105,85,77,86,552
蔡景瑞,112,97,123,82,81,80,575
潘文轩,104,99,98,85,83,72,541
丁佑,103,89,109,80,94,82,557
贺梓骏,107,114,122,91,94,79,607
曾浩铭,114,98,118,80,94,86,590
沈瑞,113,90,125,98,83,86,595
钟珈铭,109,105,122,92,94,86,608
姜嘉熙,105,95,105,83,93,75,556
谢卓然,98,86,111,105,90,77,567
戴景,122,86,120,81,76,86,571
崔家豪,111,118,106,77,78,75,565
范天成,104,87,114,77,94,86,562
汪昶林,117,114,120,104,94,84,633
邓彦澈,106,119,142,75,83,86,611
邵景瑞,106,101,116,77,94,86,580
余皓,97,94,99,75,94,82,541
吕翊,99,87,98,91,76,77,528
薛泽霖,107,102,103,75,78,81,546
邹铭,115,108,112,80,94,83,592
阎凯,107,98,119,89,92,81,586
魏嘉晟,100,111,106,87,94,75,573
方铭泽,118,119,110,80,94,80,601
贺真,110,106,101,80,94,86,577
李思涵,105,102,107,87,82,83,566
王诗涵,119,95,122,79,85,69,569
张雨彤,95,92,128,75,91,79,560
刘梦瑶,102,102,112,75,94,77,562
陈欣怡,112,98,122,75,78,86,571
杨婉婷,117,104,112,79,94,68,574
赵依,106,89,98,81,94,73,541
黄欣妍,114,101,110,107,92,86,610
周子涵,113,102,116,81,89,84,585
吴清雅,107,101,100,75,78,60,521
郑佳怡,114,101,109,92,81,80,577
何婧怡,108,82,109,95,77,76,547
徐语嫣,118,81,103,80,76,86,544
孙可欣,106,101,104,77,90,77,555
唐雅婷,107,90,102,92,92,75,558
曹若曦,115,99,110,75,76,71,546
蔡嫣,113,86,115,100,76,78,568
丁瑶,96,103,112,81,92,72,556
曾语桐,113,96,132,98,94,86,619
袁怡,107,92,112,75,76,83,545
潘馨月,114,100,98,87,83,86,568
